CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
17-01-0001-42,17-01-1025,PETEN,FLORES,EODP ZOILA ESPERANZA PUGA DE JIMENEZ,SANTA ELENA DE LA CRUZ,54163564,LILIN MELISA HERRERA ORREGO,OLGA ARELY OCHAETA VIDAL,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0002-42,17-01-1025,PETEN,FLORES,EODP AIDA VADILLO DE PINELO,CIUDAD FLORES,55362417,LILIN MELISA HERRERA ORREGO,VIVIAN ROXANA MATTA BERGES,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0003-42,,PETEN,FLORES,COLEGIO DE PARVULOS  SANTO DOMINGO,BARRIO SANTA ELENA,79260250,,,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0004-44,17-001,PETEN,FLORES,EOPA,BARRIO SANTA ELENA,,LILIN MELISA HERRERA ORREGO,--,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),PETÉN
17-01-0005-43,17-01-1025,PETEN,FLORES,"EOUM ""J MIGUEL CASTELLANOS PACHECO""",PETEN,41766829,LILIN MELISA HERRERA ORREGO,JUAN CARLOS GONZÁLEZ VÁSQUEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0006-42,17-01-1025,PETEN,FLORES,EODP JOSE BENITEZ GOMEZ,SANTA ELENA,41050501,LILIN MELISA HERRERA ORREGO,DORI MARLENY ORTIZ RUIZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0006-43,17-01-1025,PETEN,FLORES,"EOUM JM, TIPO FEDERACION  ""JOSE BENITEZ GOMEZ""",ALDEA SANTA ELENA DE LA CRUZ,30349645,LILIN MELISA HERRERA ORREGO,ALICIA BEATRIZ GONGORA INECO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0007-43,17-002,PETEN,FLORES,EORM,ALDEA BAJO DEL VENADO,,LILIA SAUDITA SUNTECUN CHAN,,PRIMARIA,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0008-42,17-01-1026,PETEN,FLORES,"EODP ""MAESTRA NEYDI MARISOL CAMBRANES BURGOS DE GOMEZ""",ALDEA PAXCAMAN,41867524,BRAULIO AMILCAR CHÁN TESUCÚN,MILFRED GISELA FERNÁNDEZ OCHAETA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0008-43,17-01-1026,PETEN,FLORES,EORM PROFESOR JUAN CONCEPCION ARELLANO MARIN,ALDEA PAXCAMAN,30382509,BRAULIO AMILCAR CHÁN TESUCÚN,AMPARO ESTHER SALAZAR COJÓN,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0009-43,17-01-1026,PETEN,FLORES,EORM,ALDEA EL NARANJO,,BRAULIO AMILCAR CHÁN TESUCÚN,ROSA PATRICIA GALDAMEZ ROSADO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0010-42,17-01-1025,PETEN,FLORES,EODP,ALDEA SAN MIGUEL,42937377,LILIN MELISA HERRERA ORREGO,DORIS MARIELA ROMERO MAS,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0010-43,17-01-1025,PETEN,FLORES,EORM 'CESARIO CETINA',ALDEA SAN MIGUEL,54821637,LILIN MELISA HERRERA ORREGO,NIDIA CARMENCITA DE LUCAS TUN,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0011-43,17-01-1026,PETEN,FLORES,EORM,CASERIO ALTAMIRA,56987867,BRAULIO AMILCAR CHÁN TESUCÚN,LUZ MARIA MATUS PENADOS,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0012-43,17-01-1026,PETEN,FLORES,EORM,ALDEA SOCOTZAL,47231797,BRAULIO AMILCAR CHÁN TESUCÚN,ESDRAS ABDIAS BATÚN SANDOVAL,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0013-43,17-01-1025,PETEN,FLORES,EOUM MARTA ROSA MORALES CETINA,ALDEA SANTA ELENA,54755203,LILIN MELISA HERRERA ORREGO,ARACELY MARICARMEN ARELLANO LÓPEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0014-43,17-01-1026,PETEN,FLORES,EORM,ALDEA EL ZAPOTE,56121609,BRAULIO AMILCAR CHÁN TESUCÚN,MARVIN MARCONNY LOPEZ OVANDO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0015-43,17-01-1026,PETEN,FLORES,EORM,ALDEA EL REMATE,46097474,BRAULIO AMILCAR CHÁN TESUCÚN,ANGELA SUSANA GÓMEZ HERRERA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0016-43,17-01-1026,PETEN,FLORES,EORM,ALDEA UAXACTUN,53119938,BRAULIO AMILCAR CHÁN TESUCÚN,SANTIAGO  AX CHOC,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0017-43,17-01-1026,PETEN,FLORES,EORM,ALDEA MACANCHE,42471084,BRAULIO AMILCAR CHÁN TESUCÚN,ARABELLA ANASTACIA RAMOS CASTILLO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0018-43,17-01-1026,PETEN,FLORES,EORM,CASERIO LOS TULIPANES,56987876,BRAULIO AMILCAR CHÁN TESUCÚN,EMIGDIO RAMON ZETINA CANEK,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0019-43,17-01-1026,PETEN,FLORES,EORM,CASERIO LAS VIÑAS,47659661,BRAULIO AMILCAR CHÁN TESUCÚN,DIANA CHRISTIAN CRUZ CHOC,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0020-43,17-01-1026,PETEN,FLORES,"EORM ""PROFESOR LUIS ALBERTO CASTELLANOS CORZO""",ALDEA EL CAOBA,47703634,BRAULIO AMILCAR CHÁN TESUCÚN,JORGE SAÚL RODRÍGUEZ BONILLA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0021-43,,PETEN,FLORES,EORM,CASERIO LOS LAGARTOS,,,,PRIMARIA,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0022-43,17-01-1026,PETEN,FLORES,EORM,CASERIO EL CAPULINAR,33079731,BRAULIO AMILCAR CHÁN TESUCÚN,VOANERGER FULGENCIO PORTILLO VEGA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0023-43,17-001,PETEN,FLORES,EORM,CASERIO EL RAMONAL ALDEA PAXCAMAN,,LILIN MELISA HERRERA ORREGO,,PRIMARIA,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0024-43,17-01-1026,PETEN,FLORES,EORM,CASERIO IXLU,54828698,BRAULIO AMILCAR CHÁN TESUCÚN,ORALIDA AMARILIS PORTILLO CAMPOS,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0025-43,17-001,PETEN,FLORES,EORM,PARCELAMIENTO MONTE RICO,,LILIN MELISA HERRERA ORREGO,,PRIMARIA,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0026-43,17-01-1026,PETEN,FLORES,EORM,CASERIO YAXHA,47401967,BRAULIO AMILCAR CHÁN TESUCÚN,SERGIO WALBERTO CASTELLANOS PANTÍ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0027-43,17-01-1025,PETEN,FLORES,EORM,ALDEA SANTA ELENA,56265232,LILIN MELISA HERRERA ORREGO,CESAR FRANCISCO SOZA MENDOZA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-01-0028-43,,PETEN,FLORES,EORM,PARCELAMIENTO LA UNION,,,,PRIMARIA,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0029-43,17-01-1026,PETEN,FLORES,EORM,CASERIO EL PORVENIR,32462432,BRAULIO AMILCAR CHÁN TESUCÚN,LESBIA MARCENY BEDOYA PAREDES,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0030-42,17-01-1025,PETEN,FLORES,EODP,"13 AVENIDA 2-47 ZONA 2, TERCERA LOTIFICACION SANTA ELENA",55347614,LILIN MELISA HERRERA ORREGO,MARIA DE LOS ANGELES ORTIZ MONZÓN,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0030-43,17-01-1025,PETEN,FLORES,EORM,"13 AVE. 2-47 ZONA 2, TERCERA LOTIFICACION, SANTA ELENA",79248622,LILIN MELISA HERRERA ORREGO,JORGE OTTONIEL CASTELLANOS MORALES,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0031-43,17-01-1026,PETEN,FLORES,EORM,CASERIO LA MAQUINA,56211367,BRAULIO AMILCAR CHÁN TESUCÚN,PEDRO LUIS CASTELLANOS OCHAETA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0032-43,17-01-1025,PETEN,FLORES,CPUM SANTA ELENA DE LA CRUZ,ALDEA SANTA ELENA,79248285,LILIN MELISA HERRERA ORREGO,JESUS ELEODORO MENDEZ CASTELLANOS,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-01-0033-43,17-001,PETEN,FLORES,COLEGIO EVANGELICO  BETHESDA,4A CALLE  A  6-34 ZONA 1 ALDEA SANTA ELENA,79261179,LILIN MELISA HERRERA ORREGO,AYDEÉ  PACAY LÓPEZ,PRIMARIA,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0033-45,,PETEN,FLORES,IPMB 'BETHESDA',"4A. CALLE 'A' 6-34, ZONA 1, SANTA ELENA",,,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-01-0034-45,17-01-1025,PETEN,FLORES,CENTRO EDUCATIVO PETEN (CEP),BARRIO SANTA ELENA,42509151,LILIN MELISA HERRERA ORREGO,KARLA YAMILETH NÁJERA ARIAS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0035-45,,PETEN,FLORES,IPMB INSTITUTO PARTICULAR MIXTO NOCTURNO 'DIEGO AMERICO CETINO PACHECO',BARRIO SANTA ELENA,,,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),PETÉN
17-01-0035-46,17-001,PETEN,FLORES,INSTITUTO PRIVADO DE EDUCACION DIVERSIFICADA DIEGO AMERICO CETINA PACHECO,BARRIO SANTA ELENA,,LILIN MELISA HERRERA ORREGO,----,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),PETÉN
17-01-0036-45,17-001,PETEN,FLORES,INSTITUTO MIXTO LA PARROQUIA,BARRIO SANTA ELENA DE LA CRUZ,79261540,LILIN MELISA HERRERA ORREGO,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-01-0037-45,17-01-1025,PETEN,FLORES,INEBE ADSCRITO ESCUELA NORMAL RURAL NO. 5  JULIO E. ROSADO PINELO,SANTA ELENA,78425736,LILIN MELISA HERRERA ORREGO,ROSA MARÍA GÓNGORA LÓPEZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0038-46,,PETEN,FLORES,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA 'LA PARROQUIA' DE SECRETARIADO JN,BARRIO SANTA ELENA,,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),PETÉN
17-01-0039-45,,PETEN,FLORES,IPMB 'CIENCIAS COMERCIALES' Y ACADEMIA ANEXA,BARRIO SANTA ELENA,,,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),PETÉN
17-01-0039-46,17-,PETEN,FLORES,INSTITUTO NOCTURNO DE CIENCIAS COMERCIALES Y ACADEMIA ANEXA,BARRIO SANTA ELENA,,JOSE FRANCISCO OLAN PONCE,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),PETÉN
17-01-0040-42,17-01-1025,PETEN,FLORES,EODP,"COLONIA MORALES, SANTA ELENA DE LA CRUZ",41390033,LILIN MELISA HERRERA ORREGO,SILPY MAYTEE MORALES PEREZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0041-42,17-01-1025,PETEN,FLORES,EODP,BARRIO SEGUNDA LOTIFICACION,,LILIN MELISA HERRERA ORREGO,DILSY VIRGINIA SIN GONZALEZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0042-42,17-01-1026,PETEN,FLORES,EODP,CASERIO AGUADAS NUEVAS,,BRAULIO AMILCAR CHÁN TESUCÚN,VIRGINIA RUDITH CHOC CHABLE,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0043-42,17-01-1025,PETEN,FLORES,EODP,"BARRIO LA GRANJA, SANTA ELENA",37206276,LILIN MELISA HERRERA ORREGO,MARTA LIDIA GARCÍA VÁSQUEZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0044-42,17-01-1026,PETEN,FLORES,EODP,BARRIO BUENA VISTA COMUNIDAD EL NARANJO,,BRAULIO AMILCAR CHÁN TESUCÚN,ELIZABETH  LUCERO GAMBOA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0045-43,17-01-1026,PETEN,FLORES,EORM,CASERIO EL LIMON,32390467,BRAULIO AMILCAR CHÁN TESUCÚN,JESÚS  MAQUÍN CHOC,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0046-43,17-01-1025,PETEN,FLORES,EORM,BARRIO SEGUNDA LOTIFICACION,51933438,LILIN MELISA HERRERA ORREGO,LORENA NINETH CHÁN MAS,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0047-43,17-01-1025,PETEN,FLORES,EORM,CASERIO EL ARROZAL,41202352,LILIN MELISA HERRERA ORREGO,GERMAN FERNANDO PAREDES SIS,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0048-43,17-01-1025,PETEN,FLORES,EORM,"COLONIA MORALES, SANTA ELENA DE LA CRUZ",30795175,LILIN MELISA HERRERA ORREGO,LESLIE IRENE PATZAN ENRIQUEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0049-43,17-01-1026,PETEN,FLORES,EORM,CASERIO AGUADAS NUEVAS,,BRAULIO AMILCAR CHÁN TESUCÚN,DORA ALICIA CUZ CHOC,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0050-43,17-01-1025,PETEN,FLORES,EORM,BARRIO LA GRANJA,51854859,LILIN MELISA HERRERA ORREGO,ELSA MARINA SARCEÑO MARTINEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0051-43,17-01-1026,PETEN,FLORES,EORM,COMUNIDAD REACENTAMIENTO EL RAMONAL II,58775336,BRAULIO AMILCAR CHÁN TESUCÚN,JESUS ELIOENAI GALIEGO KILKAN,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0052-43,17-01-1026,PETEN,FLORES,EORM,CASERIO PASO DEL NORTE SANTA ELENA,33981181,BRAULIO AMILCAR CHÁN TESUCÚN,ANA ROSA GUERRA RAMOS,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0053-43,17-001,PETEN,FLORES,EORM,COLONIA EL BOSQUE,,LILIN MELISA HERRERA ORREGO,ISABEL  YAXCAL TUX,PRIMARIA,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0054-43,17-01-1026,PETEN,FLORES,EORM,BARRIO BUENA VISTA COMUNIDAD EL NARANJO,45622941,BRAULIO AMILCAR CHÁN TESUCÚN,DORIAN ULISES QUIXCHÁN CAMAL,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0055-45,17-030,PETEN,FLORES,INSTITUTO MIXTO DE EDUCACION FUNDAMENTAL -IMEF-,"4A. AVENIDA 3A. CALLE, ZONA 2, SANTA ELENA DE LA CRUZ",41118747,RODOLFO MEDINA,ESTHER NOEMI PINELO RAMÍREZ,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,PETÉN
17-01-0056-43,17-002,PETEN,FLORES,"LICEO PETENERO EN CIENCIAS ADMINISTRATIVAS, RECURSOS NATURALES Y TURISMO","CALLE LIMITE, FRENTE A ORGANISMO JUDICIAL, A UN COSTADO DE LOS DERECHOS HUMANOS",,LILIA SAUDITA SUNTECUN CHAN,YOHAIRA IVANOVA JARIS BAGU,PRIMARIA,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0057-45,17-001,PETEN,FLORES,"LICEO PETENERO EN CIENCIAS ADMINISTRATIVAS, RECURSOS NATURALES Y TURISMO","CALLE LIMITE, FRENTE A ORGANISMO JUDICIAL, A UN COSTADO DE LOS DERECHOS HUMANOS",79261560,LILIN MELISA HERRERA ORREGO,ERWIN AUGUSTO LÓPEZ Y LÓPEZ,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0058-46,17-001,PETEN,FLORES,"LICEO PETENERO EN CIENCIAS ADMINISTRATIVAS, RECURSOS NATURALES Y TURISMO",SANTA ELENA DE LA CRUZ,,LILIN MELISA HERRERA ORREGO,ERWIN AUGUSTO LÓPEZ Y LÓPEZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,PETÉN
17-01-0059-45,17-01-1025,PETEN,FLORES,INEB,"5TA.AV.5-50-ZONA 2 SANTA ELENA,",30409277,LILIN MELISA HERRERA ORREGO,OSCAR RANDOLFO LOPEZ CORDOVA,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0060-43,17-01-1025,PETEN,FLORES,CENTRO DE EDUCACION ESPECIAL,ALDEA SANTA ELENA,59547212,LILIN MELISA HERRERA ORREGO,KARLA MARIA CANEK CASTELLANOS,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0061-45,17-01-1026,PETEN,FLORES,INEB DE TELESECUNDARIA,CASERIO EL PORVENIR,30324828,BRAULIO AMILCAR CHÁN TESUCÚN,GLENDA MILITZA ALDANA GÓMEZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0062-45,17-01-1026,PETEN,FLORES,INEB DE TELESECUNDARIA,ALDEA MACANCHE,54935503,BRAULIO AMILCAR CHÁN TESUCÚN,GLENDA YANIRA TUN SALAS,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0063-45,17-001,PETEN,FLORES,INEB DE TELESECUNDARIA,ALDEA EL CAOBA,42113664,LILIN MELISA HERRERA ORREGO,MAGDALENA BETZEY RIVERA GARCIA,BASICO,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-01-0064-46,17-01-1026,PETEN,FLORES,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA IXLU,54823795,BRAULIO AMILCAR CHÁN TESUCÚN,VICENTE  AVELAR HERNÁNDEZ,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-01-0065-46,17-001,PETEN,FLORES,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA SANTA ELENA DE LA CRUZ,,LILIN MELISA HERRERA ORREGO,---,DIVERSIFICADO,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-01-0066-42,17-01-1025,PETEN,FLORES,EODP ANEXA A EORM,CASERIO EL ARROZAL,41202352,LILIN MELISA HERRERA ORREGO,GERMAN FERNANDO PAREDES SIS,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0067-42,17-001,PETEN,FLORES,EODP ANEXA A EORM,"COLONIA EL BOSQUE, SANTA ELENA",,LILIN MELISA HERRERA ORREGO,-,PARVULOS,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0068-42,17-01-1026,PETEN,FLORES,EODP ANEXA A EORM,ALDEA LOS TULIPANES,,BRAULIO AMILCAR CHÁN TESUCÚN,EMIGDIO RAMON ZETINA CANEK,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0069-45,17-001,PETEN,FLORES,"CENTRO EDUCATIVO INTEGRAL ""PAULO FREIRE""",ZONA 2,79264648,LILIN MELISA HERRERA ORREGO,EFREN PORTILLO,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0070-46,17-001,PETEN,FLORES,"CENTRO EDUCATIVO INTEGRAL ""PAULO FREIRE""",ZONA 2,79264648,LILIN MELISA HERRERA ORREGO,EFREN PORTILLO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0071-45,17-001,PETEN,FLORES,INEB DE TELESECUNDARIA,"CENTRO DE DETENCION DEPARTAMENTAL, BARRIO LA GRANJA",,LILIN MELISA HERRERA ORREGO,ERICK EMILTON LIMA CATALAN,BASICO,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-01-0072-45,17-01-1026,PETEN,FLORES,INEB DE TELESECUNDARIA,CASERIO LA MAQUINA,45004102,BRAULIO AMILCAR CHÁN TESUCÚN,MILTON OTTONIEL VALDEZ OLIVARES,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-01-0073-46,17-001,PETEN,FLORES,"LICEO INTEGRAL ""NUEVA GENERACION""","3RA. LOTIFICACION, SANTA ELENA DE LA CRUZ",58008391,LILIN MELISA HERRERA ORREGO,RODOLFO  MEDINA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-01-0074-42,17-001,PETEN,FLORES,"LICEO INTEGRAL ""NUEVA GENERACION""","3RA. LOTIFICACION, SANA ELENA DE LA CRUZ",58008391,LILIN MELISA HERRERA ORREGO,OLGA ARELY OCHAETA VIDAL,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-01-0075-43,17-001,PETEN,FLORES,"LICEO INTEGRAL ""NUEVA GENERACION""","3RA. LOTIFICACION, SANA ELENA DE LA CRUZ",58008391,LILIN MELISA HERRERA ORREGO,RODOLFO  MEDINA,PRIMARIA,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-01-0076-45,17-001,PETEN,FLORES,"LICEO INTEGRAL ""NUEVA GENERACION""","3RA. LOTIFICACION, SANA ELENA DE LA CRUZ",58008391,LILIN MELISA HERRERA ORREGO,RODOLFO  MEDINA,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
