CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
07-01-0001-41,07-01-0346,SOLOLA,SOLOLA,COPB ANEXO A EORM,ALDEA PIXABAJ,57671028,JOSÉ ESTRADA ATZ,GLADIS ILEANA CHUMIL TUN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0001-45,07-01-0344,SOLOLA,SOLOLA,"LICEO TECNOLOGICO BILINGUE ""CUAUHTEMALLAN DE SOLOLA""","CASERÍO CAYALÁ, ALDEA EL TABLÓN",35923669,VÍCTOR CHUMIL CHIROY,RAMÓN ESTEVAN ZET CHIYAL,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0002-41,07-01-0347,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO EL TRIUNFO, CANTON PUJUJIL II",30725624,CARLOS RIGOBERTO POS TUY,MARÍA ADELA CUY AJÚ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0003-41,07-01-0347,SOLOLA,SOLOLA,COPB ANEXO A EORM,CASERIO EL ENCANTO ALDEA PUJUJIL II,55944007,CARLOS RIGOBERTO POS TUY,VÍCTOR ALFREDO CHIPÍN CHIROY,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0004-41,07-01-0347,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO LA FE, ALDEA PUJUJIL II",51187023,CARLOS RIGOBERTO POS TUY,JULIANA  ANTONIO BIXCUL,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0005-41,07-99-0380,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO LA UNION, ALDEA ARGUETA",44490148,VÍCTOR MIGUEL MENCHÚ MENCHÚ,RUTH NOEMÍ BATZ MORALES,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0006-41,07-99-0380,SOLOLA,SOLOLA,COPB ANEXO A EORM,CASERIO COXOM ALDEA ARGUETA,51503442,VÍCTOR MIGUEL MENCHÚ MENCHÚ,YOHANA SUSANA TZUL TALÉ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0007-41,07-99-0381,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO LA  ILUSION, CANTON CHUIQUEL",48363938,JUSTO SANTIAGO PONCIO PU,LUCIA GUADALUPE CHOROR CHUJ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0008-41,,SOLOLA,SOLOLA,COPB ANEXO A EORM,CASERIO SAN BUENA VENTURA ALDEA PIXABAJ,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0009-41,07-01-0347,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO SACBOCHOL, ALDEA LOS ENCUENTROS",48517654,CARLOS RIGOBERTO POS TUY,FRANCISCA ALBERTA GUACHIAC GUARCHAJ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0010-41,07-01-0346,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERÍO SAN JUAN, ALDEA PIXABAJ",57309419,JOSÉ ESTRADA ATZ,PABLO  JEATZ POCOP,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0011-41,07-01-0346,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO CHUICACASTE, ALDEA PIXABAJ",33151127,JOSÉ ESTRADA ATZ,SONIA MARISELA JULAJUJ PILÓ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0012-41,07-01-0346,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO MARIA TECUN, ALDEA PIXABAJ",50179075,JOSÉ ESTRADA ATZ,ROLANDO ALFONSO MELETZ AJÚ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0013-41,07-01-0347,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO EL ROSARIO, ALDEA LOS ENCUENTROS",55636260,CARLOS RIGOBERTO POS TUY,SANTOS  COSIGUÁ COJTÍN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0014-41,07-01-0346,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO SAN FRANCISCO, ALDEA LOS ENCUENTROS",41863722,JOSÉ ESTRADA ATZ,PEDRO BENIGNO CHOLOTÍO PÉREZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0015-41,07-99-0380,SOLOLA,SOLOLA,COPB ANEXO A EORM,CASERIO CHIRIJIXIM ALDEA SAN JUAN ARGUETA,,VÍCTOR MIGUEL MENCHÚ MENCHÚ,JORGE OBISPO TAX TAX,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0016-41,07-99-0378,SOLOLA,SOLOLA,COPB ANEXO A EORM,CASERIO EL ADELANTO ALDEA PUJUJIL II,58733793,SARA DÉBORA PAR IBATÉ,ROMEO ANTONIO LINARES URÍZAR,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0017-41,07-99-0378,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO EL MIRADOR, ALDEA PUJUJIL II",55659340,SARA DÉBORA PAR IBATÉ,LUCÍA  SALOJ ROQUEL,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0018-41,07-01-0346,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO CHUACORRAL, ALDEA PIXABAJ",59677733,JOSÉ ESTRADA ATZ,MARCO ELISEO TOC SALOJ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0019-41,07-99-0379,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO LOS YAXON, ALDEA CHAQUIJYA",59323418,VÍCTOR MIGUEL MENCHÚ MENCHÚ,YOLANDA  CHIROY BOCEL,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0020-41,,SOLOLA,SOLOLA,COPB ANEXO A EORM,CASERIO PAQUISIS ALDEA PIXABAJ,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0021-41,07-99-0378,SOLOLA,SOLOLA,COPB ANEXO A EORM,CASERIO LOS CHURUNELES I ALDEA PUJUJIL II,31336334,SARA DÉBORA PAR IBATÉ,JUAN CARLOS SOLARES SALOJ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0022-41,07-01-0345,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO XIBALBAY, CANTON CHAQUIJYA",47875775,LESVIA JOHANA TOC SOLARES,SIMEÓN  CHUMIL CHUMIL,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0023-41,07-99-0379,SOLOLA,SOLOLA,COPB ANEXO A EORM,ALDEA CHUIQUEL,50625727,VÍCTOR MIGUEL MENCHÚ MENCHÚ,MARIO  COSIGUÁ CHUMIL,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0024-41,07-99-0380,SOLOLA,SOLOLA,COPB ANEXO A EORM,ALDEA ARGUETA,56361381,VÍCTOR MIGUEL MENCHÚ MENCHÚ,OBISPO GREGORIO PECH TAX,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0025-41,07-99-0380,SOLOLA,SOLOLA,COPB ANEXO A EORM,ALDEA MARÍA TECÚN ALAYO,39191908,VÍCTOR MIGUEL MENCHÚ MENCHÚ,ANA CECILIA CUÁ YOJCÓM,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0026-41,07-01-0347,SOLOLA,SOLOLA,COPB ANEXO A EORM,ALDEA LOS ENCUENTROS,42119979,CARLOS RIGOBERTO POS TUY,EVELING DAMARY DE LEÓN CORDERO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0027-41,07-01-0346,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO PAQUISIS, ALDEA PIXABAJ",53580817,JOSÉ ESTRADA ATZ,NERY OSWALDO JULAJUJ PILÓ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0028-41,07-99-0378,SOLOLA,SOLOLA,COPB ANEXO A EORM,CASERIO LOS CHURUNELES II ALDEA PUJUJIL II,41963925,SARA DÉBORA PAR IBATÉ,AURA MARINA MENDOZA AJÚ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0029-43,07-01-0347,SOLOLA,SOLOLA,EORM,"CASERIO EL ROSARIO, ALDEA LOS ENCUENTROS",55636260,CARLOS RIGOBERTO POS TUY,SANTOS  COSIGUÁ COJTÍN,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0030-43,07-01-0347,SOLOLA,SOLOLA,EORM,"CASERIO EL TRIUNFO, ALDEA PUJUJIL II",42520271,CARLOS RIGOBERTO POS TUY,MARÍA ADELA CUY AJÚ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0031-43,07-99-0378,SOLOLA,SOLOLA,EORM,CASERIO CHURUNELES II ALDEA PUJUJIL II,41963925,SARA DÉBORA PAR IBATÉ,AURA MARINA MENDOZA AJÚ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0032-43,07-01-0347,SOLOLA,SOLOLA,EORM,CASERIO EL ENCANTO CANTON PUJUJIL II,55944007,CARLOS RIGOBERTO POS TUY,VÍCTOR ALFREDO CHIPÍN CHIROY,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0033-43,07-01-0347,SOLOLA,SOLOLA,EORM,"CASERÍO LA FE, CANTÓN PUJUJIL II",51187023,CARLOS RIGOBERTO POS TUY,JULIANA  ANTONIO BIXCUL,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0034-43,07-99-0380,SOLOLA,SOLOLA,EORM,"CASERIO LA UNION, ALDEA SAN JUAN ARGUETA",44490148,VÍCTOR MIGUEL MENCHÚ MENCHÚ,RUTH NOEMÍ BATZ MORALES,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0035-43,07-99-0380,SOLOLA,SOLOLA,EORM,CASERIO COXOM ALDEA SAN JUAN ARGUETA,51503442,VÍCTOR MIGUEL MENCHÚ MENCHÚ,YOHANA SUSANA TZUL TALÉ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0036-43,07-99-0381,SOLOLA,SOLOLA,EORM,"CASERIO LA  ILUSION, CANTON CHUIQUEL",48363938,JUSTO SANTIAGO PONCIO PU,LUCIA GUADALUPE CHOROR CHUJ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0037-43,07-01-0346,SOLOLA,SOLOLA,EORM,"CASERIO SAN BUENA VENTURA, ALDEA PIXABAJ",48065590,JOSÉ ESTRADA ATZ,JUAN RAMÓN MENCHÚ CUTZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0038-43,07-01-0346,SOLOLA,SOLOLA,EORM,"CASERIO SAN JUAN, ALDEA PIXABAJ",57309419,JOSÉ ESTRADA ATZ,PABLO  JEATZ POCOP,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0039-43,07-01-0346,SOLOLA,SOLOLA,EORM,ALDEA PIXABAJ,57671028,JOSÉ ESTRADA ATZ,GLADIS ILEANA CHUMIL TUN,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0040-43,07-01-0346,SOLOLA,SOLOLA,EORM,"CASERIO MARIA TECUN, ALDEA PIXABAJ",50179075,JOSÉ ESTRADA ATZ,ROLANDO ALFONSO MELETZ AJÚ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0041-43,07-01-0346,SOLOLA,SOLOLA,EORM,"CASERIO SAN FRANCISCO, ALDEA LOS ENCUENTROS",41863722,JOSÉ ESTRADA ATZ,PEDRO BENIGNO CHOLOTÍO PÉREZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0042-43,07-99-0380,SOLOLA,SOLOLA,EORM,CASERIO CHIRIJIXIM ALDEA ARGUETA,40365393,VÍCTOR MIGUEL MENCHÚ MENCHÚ,DARÍO LUCÍO XAMINEZ ALVA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0043-43,07-99-0378,SOLOLA,SOLOLA,EORM,CASERIO EL ADELANTO ALDEA PUJUJIL II,58733793,SARA DÉBORA PAR IBATÉ,ROMEO ANTONIO LINARES URÍZAR,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0044-43,07-99-0378,SOLOLA,SOLOLA,EORM,CASERIO EL MIRADOR ALDEA PUJUJIL II,55659340,SARA DÉBORA PAR IBATÉ,LUCÍA  SALOJ ROQUEL,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0045-43,07-01-0346,SOLOLA,SOLOLA,EORM,"CASERIO CHUACORRAL, ALDEA PIXABAJ",59677733,JOSÉ ESTRADA ATZ,MARCO ELISEO TOC SALOJ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0046-43,07-01-0347,SOLOLA,SOLOLA,EORM,"CASERIO SACBOCHOL, ALDEA LOS ENCUENTROS",48517654,CARLOS RIGOBERTO POS TUY,FRANCISCA ALBERTA GUACHIAC GUARCHAJ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0047-43,07-99-0379,SOLOLA,SOLOLA,EORM,"CASERIO LOS YAXON, ALDEA CHAQUIJYA",59323418,VÍCTOR MIGUEL MENCHÚ MENCHÚ,YOLANDA  CHIROY BOCEL,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0048-43,07-01-0346,SOLOLA,SOLOLA,EORM,"CASERIO XALAMA, ALDEA PIXABAJ",58801710,JOSÉ ESTRADA ATZ,ADONIAS MARINO TOHOM SACUJ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0049-43,07-99-0378,SOLOLA,SOLOLA,EORM,CASERIO LOS CHURUNELES I ALDEA PUJUJIL III,21336334,SARA DÉBORA PAR IBATÉ,JUAN CARLOS SOLARES SALOJ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0050-43,07-01-0346,SOLOLA,SOLOLA,EORM,"CASERIO CHUICACASTE, ALDEA PIXABAJ",33151127,JOSÉ ESTRADA ATZ,SONIA MARISELA JULAJUJ PILÓ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0051-43,07-01-0345,SOLOLA,SOLOLA,EORM,"CASERIO XIBALBAY, ALDEA CHAQUIJYA",47875775,LESVIA JOHANA TOC SOLARES,SIMEÓN  CHUMIL CHUMIL,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0052-43,07-99-0379,SOLOLA,SOLOLA,EORM,ALDEA CHUIQUEL,50625727,VÍCTOR MIGUEL MENCHÚ MENCHÚ,MARIO  COSIGUÁ CHUMIL,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0053-43,07-99-0380,SOLOLA,SOLOLA,EORM,ALDEA SAN JUAN ARGUETA,56361381,VÍCTOR MIGUEL MENCHÚ MENCHÚ,OBISPO GREGORIO PECH TAX,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0054-43,07-99-0380,SOLOLA,SOLOLA,EORM,ALDEA MARÍA TECÚN ALAYO,39191908,VÍCTOR MIGUEL MENCHÚ MENCHÚ,ANA CECILIA CUÁ YOJCÓM,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0055-43,07-01-0347,SOLOLA,SOLOLA,EORM,ALDEA LOS ENCUENTROS,42119979,CARLOS RIGOBERTO POS TUY,EVELING DAMARY DE LEÓN CORDERO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0056-43,07-01-0346,SOLOLA,SOLOLA,EORM,"CASERIO PAQUISIS, ALDEA PIXABAJ",53580817,JOSÉ ESTRADA ATZ,NERY OSWALDO JULAJUJ PILÓ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0057-45,07-99-0380,SOLOLA,SOLOLA,IEBC,ALDEA SAN JUAN ARGUETA,49777869,VÍCTOR MIGUEL MENCHÚ MENCHÚ,LUIS MARTÍN TÍU TZUNÚN,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0058-45,07-019,SOLOLA,SOLOLA,"LICEO TECNOLOGICO BILINGUE ""CUAUHTEMALLAN DE SOLOLA""","7 CALLE 3-25 ZONA 1, BARRIO SAN ANTONIO",,ESTELA BEN AJCALÓN DE TUY,ROLANDO COY YAQUI,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0059-46,07-01-0344,SOLOLA,SOLOLA,"LICEO TECNOLÓGICO BILINGÜE ""CUAUHTEMALLAN DE SOLOLÁ""","CASERÍO CAYALÁ, ALDEA EL TABLÓN",35923669,VÍCTOR CHUMIL CHIROY,RAMÓN ESTEVAN ZET CHIYAL,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0060-46,07-019,SOLOLA,SOLOLA,"LICEO TECNOLOGICO BILINGUE ""CUAUTHEMALLAN DE SOLOLA""","7 CALLE 3-25 ZONA 1, BARRIO SAN ANTONIO",77621955,ESTELA BEN AJCALÓN DE TUY,ROLANDO COY YAQUI,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0061-46,07-01-0344,SOLOLA,SOLOLA,"LICEO TECNOLÓGICO BILINGÜE ""CUAUHTEMALLAN DE SOLOLA""","CASERÍO CAYALÁ, ALDEA EL TABLÓN",35923669,VÍCTOR CHUMIL CHIROY,RAMÓN ESTEVAN ZET CHIYAL,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SOLOLÁ
07-01-0062-45,07-01-0344,SOLOLA,SOLOLA,INSTITUTO TECNOLOGICO DE LA UNIVERSIDAD DEL VALLE DE GUATEMALA,KM. 137,79310814,VÍCTOR CHUMIL CHIROY,CECILIA YORDENY VICENTE ZAPETA,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SOLOLÁ
07-01-0063-45,07-01-0346,SOLOLA,SOLOLA,INSTITUTO MIXTO DE EDUCACION BASICA POR COOPERATIVA AQ'AB'ÄL NO'J,"CASERÍO PAQUISIS, ALDEA PIXABAJ",48795779,JOSÉ ESTRADA ATZ,MARÍA CÁRMEN CUMATZ CHUMIL,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0064-41,07-01-0347,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO VALLE DEL NORTE, ALDEA PUJUJIL II",45006161,CARLOS RIGOBERTO POS TUY,JOSÉ MARÍA AJSOC TO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0065-43,07-01-0347,SOLOLA,SOLOLA,EORM ANEXO A EORM,"CASERIO VALLE DEL NORTE, ALDEA PUJUJIL II",45006161,CARLOS RIGOBERTO POS TUY,JOSÉ MARÍA AJSOC TO,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0066-45,07-001,SOLOLA,SOLOLA,"INSTITUTO PRIVADO MIXTO DE EDUCACION BASICA ""EDUCACION PARA TODOS""",ALDEA SAN JORGE LA LAGUNA,32265809,BENJAMÍN ELÍAS IXCAMPARIC SOSA,MIGUEL ANGEL ESQUIT YAL,BASICO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,INTERMEDIA,DIARIO(REGULAR),SOLOLÁ
07-01-0067-42,07-01-0345,SOLOLA,SOLOLA,EODP,"CASERÍO CENTRAL Y PROGRESO, CANTÓN XAJAXAC",37784219,LESVIA JOHANA TOC SOLARES,CARLOS ENRIQUE CUMES MELETZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0068-42,07-01-0346,SOLOLA,SOLOLA,EODP,"CASERIO EL PARAISO, LOS ENCUENTROS",31338049,JOSÉ ESTRADA ATZ,ISABEL  PAR XOQUÍC,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0069-42,07-01-0345,SOLOLA,SOLOLA,EODP,CASERIO LA NUEVA ESPERANZA CANTON XAJAXAC,55165299,LESVIA JOHANA TOC SOLARES,CÉSAR  PILÓ RAXTÚN,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0070-42,07-99-0378,SOLOLA,SOLOLA,EODP ANEXA A E.O.R.M,"CASERIO LAS TRAMPAS, ALDEA PUJUJIL III",40678311,SARA DÉBORA PAR IBATÉ,REGINA  ROQUEL JULAJUJ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0071-42,07-01-0346,SOLOLA,SOLOLA,EODP,"SECTOR II VISTA HERMOSA, ALDEA LOS ENCUENTROS",54963941,JOSÉ ESTRADA ATZ,MARTA REGINA TUY GÜÍT,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0072-41,07-01-0347,SOLOLA,SOLOLA,COPB,CASERIO LA ESPERANZA CANTON PUJUJIL II,49627755,CARLOS RIGOBERTO POS TUY,JESUS MARIA AJCALON GARCIA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0073-41,07-99-0343,SOLOLA,SOLOLA,COPB,"CASERÍO BUENA VISTA, CANTÓN SACSIGUÁN",45649154,DAVID FERNANDO PAZ LÓPEZ,VILMA TERESA SAMINES BAQUÍN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0074-41,07-01-0347,SOLOLA,SOLOLA,COPB,"SECTOR III, CASERIO LA FE, CANTON PUJUJIL II",49156452,CARLOS RIGOBERTO POS TUY,SANDRA CARMELA PACHECO CHAVAJAY,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0075-42,07-99-0379,SOLOLA,SOLOLA,EODP,CASERIO EL ASCENSO,53242370,VÍCTOR MIGUEL MENCHÚ MENCHÚ,SANTA MARGARITA AJÚ CUÁ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0076-42,07-01-0347,SOLOLA,SOLOLA,EODP,"SECTOR NUEVO AMANECER, ALDEA LOS ENCUENTROS",58595334,CARLOS RIGOBERTO POS TUY,RAFAEL OTONIEL PUAC GONZÁLEZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
