CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
00-01-0001-42,01-01-0030,CIUDAD CAPITAL,ZONA 1,EODP NO.20 'ANTONIO JOSE DE IRISARRI',19 CALLE 12-71,22324443,NORMA ARACELY PALOMO FRANCO DE DÍAZ,,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0002-42,01-01-0030,CIUDAD CAPITAL,ZONA 1,EODP NO.21  GABRIELA MISTRAL,19 CALLE 12-71,22324443,NORMA ARACELY PALOMO FRANCO DE DÍAZ,LUISA IRENE SERRANO ESCOBAR,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0003-42,01-01-0030,CIUDAD CAPITAL,ZONA 1,EODP NO. 36 LA PRESIDENTA,2A AVE. Y 22 CALLE TERCER NIVEL MERCADO LA PRESIDENTA,55161115,NORMA ARACELY PALOMO FRANCO DE DÍAZ,MANDY YENEDITH HERNÁNDEZ BOBADILLA,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0004-42,01-01-0035,CIUDAD CAPITAL,ZONA 1,EODP NO.30  OTILIA NUÑEZ ARIZA,12 CALLE 15-30,22539326,NORMA ARACELY PALOMO FRANCO DE DÍAZ,ANA ESTELA ORTEGA CIFUENTES,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0005-42,01-01-0035,CIUDAD CAPITAL,ZONA 1,"ESCUELA OFICIAL PARA PARVULOS NO.8 ""OVIDIO DECROLY""",3A CALLE 16-73,22203623,NORMA ARACELY PALOMO FRANCO DE DÍAZ,MARÍA MERCEDES VIÑALS PÉREZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0006-42,01-01-0031,CIUDAD CAPITAL,ZONA 1,EODP NO.1 'RAMONA GIL',2A. CALLE 4-28,41106707,LUDIBEL AMARILIS GALICIA DE FLORES,ANA GABRIELA CASTRO PINEDA,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0007-42,01-01-0035,CIUDAD CAPITAL,ZONA 1,EODP NO.38 DEL CENTRO DE BIENESTAR SOCIAL  COLON,7A CALLE 12-67,22518854,NORMA ARACELY PALOMO FRANCO DE DÍAZ,DAMARIS MARISOL IBARRA IBARRA,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0008-42,01-01-0026,CIUDAD CAPITAL,ZONA 1,EODP NO.12 LEONOR CIENFUEGOS,3A CALLE 0-72,22381458,LUDIBEL AMARILIS GALICIA DE FLORES,CLAUDIA PAOLA MORALES MARROQUIN,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0009-42,01-305,CIUDAD CAPITAL,ZONA 1,EODP NO.61 DEL CENTRO DE BIENESTAR SOCIAL NO.1,AVENIDA BOLIVAR 25-00,22323833,CELESTINA  ARLETTY HERNÁNDEZ AGUILAR,,PARVULOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0010-42,,CIUDAD CAPITAL,ZONA 1,EODP ANEXA A EOUM NO.38 'JOSE MARIA CASTILLA',14 CALLE 12-71,,,,PARVULOS,OFICIAL,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0011-42,01-01-0048,CIUDAD CAPITAL,ZONA 1,SOCIEDAD PROTECTORA DEL NIÑO 'CASA DEL NIÑO' NO.1,2A AVE. 8-74,22511054,AMADO SALOMON FLORES PEREZ,KIMBERLY ALEJANDRA BARRIENTOS GONZÁLEZ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0012-42,01-01-0032,CIUDAD CAPITAL,ZONA 1,COLEGIO BILINGUE  MI MELODIA,18 AVE.  A  1-88,23685832,LUDIBEL AMARILIS GALICIA DE FLORES,YUMA DAYLY DIAZ HERRERA,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0013-42,01-318,CIUDAD CAPITAL,ZONA 1,COLEGIO  MI CASITA ENCANTADA,1A CALLE  A  22-59,22607503,SANDRA CAROLINA PÉREZ DONDIEGO DE CHOC,MARÍA ALEJANDRA FUENTES ZELEDÓN,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0014-42,01-01-0044,CIUDAD CAPITAL,ZONA 1,COLEGIO  PARVULITOS GUATEMALA,12 AVENIDA 13-78,22539559,MARIANO DOMINGO ESTRADA TELETOR,MINITA  SAMAYOA DE BARQUIN,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0015-42,,CIUDAD CAPITAL,ZONA 1,JARDIN DE INFANTES BILINGUE 'LOS PICCOLINOS',9A CALLE 0-19,22539195,,,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0016-42,01-312,CIUDAD CAPITAL,ZONA 1,COLEGIO GUATEMALTECO 'MENTES SANAS',11 CALLE 1-56,22326732,AMADO  SALOMON FLORES PEREZ,,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0017-42,01-01-0030,CIUDAD CAPITAL,ZONA 1,SOCIEDAD PROTECTORA DEL NIÑO 'CASA DEL NIÑO' NO.3,AVENIDA ELENA 18-23,22327417,NORMA ARACELY PALOMO FRANCO DE DÍAZ,MARÍA GABRIELA SICAJÁ SAPÓN,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0018-42,,CIUDAD CAPITAL,ZONA 1,COLEGIO 'FROEBEL',2A CALLE 7-11,,,,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0019-42,,CIUDAD CAPITAL,ZONA 1,CPUM 'EVEREST',2A AVE. 14-60,22329642,,,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0020-42,01-01-0028,CIUDAD CAPITAL,ZONA 1,"COLEGIO CATÓLICO MIXTO ""EUGENIO PACELLI""",13 CALLE 0-61,32636330,AMADO SALOMON FLORES PEREZ,LIDIA NINNETTE ALVAREZ VILLATORO,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0021-42,01-01-0028,CIUDAD CAPITAL,ZONA 1,COLEGIO CATOLICO  SAN PABLO,14 CALLE 3-34,22323212,AMADO SALOMON FLORES PEREZ,ANA MARÍA PALACIOS APARICIO,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0022-42,,CIUDAD CAPITAL,ZONA 1,'UNIVERSIDAD INFANTIL',8A CALLE 0-62,22541340,,,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0023-42,,CIUDAD CAPITAL,ZONA 1,'SNOOPY'S SCHOOL',1A AVE. 'A' 1-70,23349314,,,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0024-42,,CIUDAD CAPITAL,ZONA 1,COLEGIO 'AMANECER',6A. AVENIDA 1-63,22201332,,,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0025-42,01-312,CIUDAD CAPITAL,ZONA 1,COLEGIO Y JARDIN  HUERTO DE JESUS,18 AVENIDA  C  1-40,22531789,AMADO  SALOMON FLORES PEREZ,VICTORIA ELIZABETH VÁSQUEZ REYES,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0026-42,01-318,CIUDAD CAPITAL,ZONA 1,COLEGIO EVANGELICO DEL PRINCIPE DE PAZ,AVENIDA CENTRO AMERICA 21-13,23826923,SANDRA CAROLINA PÉREZ DONDIEGO DE CHOC,LAURA REBECA DUBÓN CIFUENTES,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0027-42,01-305,CIUDAD CAPITAL,ZONA 1,COLEGIO MIXTO PRIVADO EL DEBER,3A. AVENIDA 'A' 3-42,22328473,CELESTINA  ARLETTY HERNÁNDEZ AGUILAR,,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0028-42,01-303,CIUDAD CAPITAL,ZONA 1,COLEGIO MIXTO 'LEONARDO DE VINCI',1A. AV. 4-18,22213612,GLORIA GABRIELA LARIOS GARCÍA,,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0029-42,,CIUDAD CAPITAL,ZONA 1,EPDP ANEXA A 'LICEO MARIANO GALVEZ',2A AVE. 9-82,,,,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0030-42,01-318,CIUDAD CAPITAL,ZONA 1,ANEXA A COLEGIO  PARAISO INFANTIL SANTA ALICIA,5A AVE. 2-54,22325804,SANDRA CAROLINA PÉREZ DONDIEGO DE CHOC,OLGA LETICIA OCHOA ALVAREZ,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0031-42,01-01-0035,CIUDAD CAPITAL,ZONA 1,COLEGIO MIXTO  SANTA SOFIA,13 CALLE 10-38,41477208,NORMA ARACELY PALOMO FRANCO DE DÍAZ,ROSA MARÍA GUEVARA DE PAZ,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0032-42,,CIUDAD CAPITAL,ZONA 1,EPDP ANEXA A 'LICEO CANADIENSE',8A CALLE 3-51,22329507,,,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0033-42,,CIUDAD CAPITAL,ZONA 1,EPDP ANEXA A LICEO MIXTO 'MONTREAL',12 AVE. 13-25,22322306,,,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0034-42,01-01-0035,CIUDAD CAPITAL,ZONA 1,COLEGIO MIXTO 'JUAN PABLO II',16 AVE. 10-75,22384934,NORMA ARACELY PALOMO FRANCO DE DÍAZ,EVELYN CELESTE VÁSQUEZ GARCÍA,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0035-42,,CIUDAD CAPITAL,ZONA 1,EPDP ANEXA A COLEGIO 'SAN JOSE DE LOS INFANTES',7A AVE. 6-73,22382935,,,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0036-42,01-01-0040,CIUDAD CAPITAL,ZONA 1,ANEXA A 'LICEO FRANCES',5A AVE. 9-80,22325538,AMADO SALOMON FLORES PEREZ,BEATRIZ ALEJANDRINA TOLEDO ROCH,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0037-42,01-01-0032,CIUDAD CAPITAL,ZONA 1,ANEXA A COLEGIO  JUAN XXIII,1A CALLE 9-71,22542016,LUDIBEL AMARILIS GALICIA DE FLORES,MARÍA AMELIA PERÉN BOC,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0038-42,01-316,CIUDAD CAPITAL,ZONA 1,EPDP ANEXA A COLEGIO 'SANTA MARGARITA',8A CALLE 0-22,22539944,LILIAN YOLANDA RODRIGUEZ PINTO DE CASTRO,,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0039-42,,CIUDAD CAPITAL,ZONA 1,EPDP ANEXA A COLEGIO 'ERMITA',18 AVE. 'A' 1-41,22536479,,,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0040-42,,CIUDAD CAPITAL,ZONA 1,EPDP ANEXA A 'LICEO CHAPERO',2A CALLE 3-09,22380888,,,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0041-42,01-01-0044,CIUDAD CAPITAL,ZONA 1,COLEGIO BELGA GUATEMALTECO,9A CALLE 10-38,23148300,MARIANO DOMINGO ESTRADA TELETOR,MARÍA ESTHER SALAZAR HURTARTE,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0042-42,,CIUDAD CAPITAL,ZONA 1,EPDP ANEXA A COLEGIO EVANGELICO 'EL MAESTRO',17 AVE. 1-58,22531661,,,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0043-42,01-01-0035,CIUDAD CAPITAL,ZONA 1,CENTRO EDUCACIONAL MIXTO PRIVADO  KINGSTON,8A CALLE 12-46,22320683,NORMA ARACELY PALOMO FRANCO DE DÍAZ,PATRICIA LORENA LIDIA GIDI DAVID,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0044-42,01-01-0032,CIUDAD CAPITAL,ZONA 1,LICEO CRISTIANO  CANTARES,12 AVENIDA  C  3-03,22211142,LUDIBEL AMARILIS GALICIA DE FLORES,BLANCA ROSA MÉNDEZ ROSALES,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0045-42,,CIUDAD CAPITAL,ZONA 1,EPDP ANEXA A COLEGIO 'STELLA MATUTINA',9A CALLE 2-55,22329816,,,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0046-42,,CIUDAD CAPITAL,ZONA 1,EPDP ANEXA A COLEGIO PARROQUIAL DEL CALVARIO MONSEÑOR 'MATEO PERRONE',6A AVE. 18-23,22322912,,,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0047-42,01-01-0032,CIUDAD CAPITAL,ZONA 1,ANEXA A COLEGIO 'SAN JERONIMO EMILIANI',14 AVE. 1-72,22301968,LUDIBEL AMARILIS GALICIA DE FLORES,MIRIAM MAGDALENA MENDOZA GUZMÁN,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0048-42,01-317,CIUDAD CAPITAL,ZONA 1,"COLEGIO DE SEÑORITAS  ""EL SAGRADO CORAZON """,13 CALLE 9-60,24237900,MARIANO DOMINGO ESTRADA TELETOR,NINOSHKA VINET SÁNCHEZ ORTÍZ,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0049-42,01-01-0035,CIUDAD CAPITAL,ZONA 1,ANEXA A COLEGIO  EL CAMINO,10A CALLE 11-46,22511273,NORMA ARACELY PALOMO FRANCO DE DÍAZ,STEFANY DEL ROSARIO BRENNER CORZO,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0050-42,,CIUDAD CAPITAL,ZONA 1,EPDP ANEXA A COLEGIO INFANTIL 'TOM SAWYER',1A AVE. 6-26,22519331,,,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0051-42,,CIUDAD CAPITAL,ZONA 1,EPDP ANEXA A COLEGIO SUIZO 'YOLANDA VON KAENEL DE ARGUETA',12 AVE. 14-29,22514679,,,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0052-42,01-310,CIUDAD CAPITAL,ZONA 1,COLEGIO MIXTO NAZARETH,11 AVENIDA 5-67,22302514,EDDY FRANCISCO RAMÍREZ MORALES,ANA CAROLINA MATA LOPEZ,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0053-42,01-01-0030,CIUDAD CAPITAL,ZONA 1,CENTRO EDUCATIVO FE Y ALEGRIA NO. 1,14 AVE. 19-57,22534697,NORMA ARACELY PALOMO FRANCO DE DÍAZ,NORA ELIZABETH GONZÁLEZ GARCÍA,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0054-42,01-01-0032,CIUDAD CAPITAL,ZONA 1,EPDP ANEXA A COLEGIO  LOYOLA,12 AVENIDA 3-69,22044800,LUDIBEL AMARILIS GALICIA DE FLORES,EMMA NELY CARBONELL MARTÍNEZ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0055-42,01-303,CIUDAD CAPITAL,ZONA 1,EPDP ANEXA A COLEGIO MIXTO  PADRE BETANZOS,10A CALLE 12-90,22384283,GLORIA GABRIELA LARIOS GARCÍA,EMILCEN LISSETTE NICOLAS OLIVA,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0056-42,01-316,CIUDAD CAPITAL,ZONA 1,COLEGIO MIXTO 'LA ALEGRIA',2A. AV. 25-10,22539155,LILIAN YOLANDA RODRIGUEZ PINTO DE CASTRO,,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0057-43,,CIUDAD CAPITAL,ZONA 1,EOUV 'SIMON BOLIVAR',13 CALLE A 3-45,22206956,,,PRIMARIA,OFICIAL,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0058-43,01-01-0044,CIUDAD CAPITAL,ZONA 1,ESCUELA DE NIÑOS NO.3 CAYETANO FRANCOS Y MONROY,15 CALLE 11-12,22514261,MARIANO DOMINGO ESTRADA TELETOR,KARIN ALEJANDRINA RODRIGUEZ CHILEL,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0059-43,01-01-0030,CIUDAD CAPITAL,ZONA 1,"EOUV NO.27 ""REPUBLICA DE BRASIL""","3A . AVENIDA ""C""  24-01,",22519812,NORMA ARACELY PALOMO FRANCO DE DÍAZ,WERNER MAURICIO SALAZAR DAVILA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0060-43,,CIUDAD CAPITAL,ZONA 1,EOUV 'RAFAEL AYAU',3 AV. 1-46,22320963,,,PRIMARIA,OFICIAL,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0061-43,01-101,CIUDAD CAPITAL,ZONA 1,EOUV NO.17 REPUBLICA DE PANAMA,9A CALLE 3-19,,YENI XIOMARA CRÚZ SARCEÑO,,PRIMARIA,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0062-43,,CIUDAD CAPITAL,ZONA 1,EOUV NO.12 'SERAPIO CRUZ',5A CALLE 10-23,22320295,,,PRIMARIA,OFICIAL,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0063-43,01-01-0030,CIUDAD CAPITAL,ZONA 1,"EOUV NO.2 ""REPUBLICA DE COSTA RICA""",14 CALLE 14-70,22203459,NORMA ARACELY PALOMO FRANCO DE DÍAZ,INGRID NOHEMI AGUILAR MARTÍNEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0064-43,01-01-0035,CIUDAD CAPITAL,ZONA 1,"EOUV NO.9  ""LUCAS TOMAS COJULUN""",13 AVENIDA 4-78,22511678,NORMA ARACELY PALOMO FRANCO DE DÍAZ,CLAUDÍA MÓNICA GAITÁN RODRÍGUEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0065-43,01-01-0044,CIUDAD CAPITAL,ZONA 1,ESCUELA OFICIAL NO. 35 'JOSE CECILIO DEL VALLE',15 CALLE 11-12,41135667,MARIANO DOMINGO ESTRADA TELETOR,ANA ESPERANZA DE LEÓN SEM,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0066-43,01-01-0035,CIUDAD CAPITAL,ZONA 1,"ESCUELA OFICIAL PARA NIÑAS NO .45 ""RAFAEL AYAU""",14 AVENIDA 3-37,22532454,NORMA ARACELY PALOMO FRANCO DE DÍAZ,MAYRA GUISELA AGUILAR DÁVILA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0067-43,01-01-0035,CIUDAD CAPITAL,ZONA 1,EOUN NO.5 MIGUEL GARCIA GRANADOS,13 AVENIDA 4-78,22538664,NORMA ARACELY PALOMO FRANCO DE DÍAZ,ALMA LIZETH RODRIGUEZ ARRIOLA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0068-43,,CIUDAD CAPITAL,ZONA 1,EOUN NO.27 'REPUBLICA DE VENEZUELA',12 CALLE 18-09 ZONA 21 NIMAJUYU,,,,PRIMARIA,OFICIAL,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0069-43,,CIUDAD CAPITAL,ZONA 1,EOUN NO.19 'VICENTE RIVAS',23 CALLE 1-42,22533566,,,PRIMARIA,OFICIAL,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0070-43,01-01-0044,CIUDAD CAPITAL,ZONA 1,ESCUELA DE NIÑAS NO. 10 'MANUEL CABRAL',14 CALLE 12-71,22214890,MARIANO DOMINGO ESTRADA TELETOR,OLGA MARINA QUEVEDO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0071-43,01-01-0044,CIUDAD CAPITAL,ZONA 1,"EOUN NO.67  ""APLICACION DE BELEN""",13 CALLE 10-59,52725065,MARIANO DOMINGO ESTRADA TELETOR,DORA ANDREA RODRÍGUEZ RODAS,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0072-43,01-01-0044,CIUDAD CAPITAL,ZONA 1,EOUN NO.3 DOLORES BEDOYA DE MOLINA,7A. AVENIDA 13-73,22329943,MARIANO DOMINGO ESTRADA TELETOR,FLORIDALMA NINETH AGUIRRE AGUIRRE,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0073-43,,CIUDAD CAPITAL,ZONA 1,EOUN NO.15 'REPUBLICA DE CUBA',14 CALLE 'B' 5-36 ZONA 1,22382059,,,PRIMARIA,OFICIAL,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0074-43,01-01-0028,CIUDAD CAPITAL,ZONA 1,EOUM NO.82 'DR. CARLOS MONZON MALICE',"AVE. ELENA Y 12 CALLE, DEPTO. DE PEDIATRIA HOSPITAL GENERAL",22539989,AMADO SALOMON FLORES PEREZ,FLOR DE MARÍA GAITÁN CONTRERAS,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0075-43,01-01-0030,CIUDAD CAPITAL,ZONA 1,"EOUM NO.72 ""GUATEMALTECOS SOMOS""",3A. AV. C 24-24,22511471,NORMA ARACELY PALOMO FRANCO DE DÍAZ,CLAUDIA LORENA JIMÉNEZ LÓPEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0076-43,01-312,CIUDAD CAPITAL,ZONA 1,EOUN NO.11 JOSE MARIANO GONZALEZ,14 CALLE 14-70,,AMADO  SALOMON FLORES PEREZ,,PRIMARIA,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
